City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
172,Batagay-Alyta,RU,67.8006,130.4114,-26.93,92,45,2.53,scattered clouds
173,Thompson,CA,55.7435,-97.8558,14.16,85,100,12.66,light snow
174,Nerchinsk,RU,51.9833,116.5833,24.94,83,82,4.43,broken clouds
175,Les Cayes,HT,18.2,-73.75,77.4,84,11,3.87,few clouds
176,Tasiilaq,GL,65.6145,-37.6368,35.76,88,100,21.7,overcast clouds
177,Daud Khel,PK,32.875,71.5701,65.68,33,0,1.61,clear sky
178,Sola,VU,-13.8833,167.55,82.6,70,14,6.96,few clouds
179,Saint George,US,37.1041,-113.5841,46.99,38,0,4.61,clear sky
180,Eyl,SO,7.9803,49.8164,76.19,76,18,9.75,few clouds
181,Coquimbo,CL,-29.9533,-71.3436,58.73,94,0,2.3,clear sky
182,Souillac,MU,-20.5167,57.5167,70.18,78,40,2.3,scattered clouds
183,Jacareacanga,BR,-6.2222,-57.7528,73.36,96,96,1.72,overcast clouds
184,Amahai,ID,-3.3333,128.9167,86.9,64,83,5.82,broken clouds
185,Longyearbyen,SJ,78.2186,15.6401,21.04,68,20,10.36,few clouds
186,Norman Wells,CA,65.282,-126.8329,-2.16,84,75,0.0,broken clouds
187,Dunafoldvar,HU,46.808,18.9264,47.12,84,99,7.27,overcast clouds
188,Kahului,US,20.8947,-156.47,80.62,68,40,17.27,scattered clouds
189,Qeshm,IR,26.9581,56.2719,69.69,70,2,7.05,clear sky
190,Guerrero Negro,MX,27.9769,-114.0611,66.24,40,0,3.62,clear sky
191,East London,ZA,-33.0153,27.9116,65.34,94,40,4.61,scattered clouds
192,Antofagasta,CL,-23.65,-70.4,61.88,84,38,2.35,scattered clouds
193,Dudinka,RU,69.4058,86.1778,-34.82,100,89,2.15,overcast clouds
194,Aklavik,CA,68.2191,-135.0107,7.83,79,80,2.73,broken clouds
195,Itarema,BR,-2.9248,-39.9167,78.39,73,6,13.67,clear sky
196,Tutoia,BR,-2.7619,-42.2744,78.42,78,17,9.91,few clouds
197,Villena,ES,38.6373,-0.8657,63.46,79,99,22.59,overcast clouds
198,Olinda,BR,-8.0089,-34.8553,78.53,78,75,8.05,broken clouds
199,Linxia,CN,35.6003,103.2064,44.37,53,87,2.26,overcast clouds
200,Gotsu,JP,35.0,132.2167,60.69,51,100,2.82,overcast clouds
201,Kruisfontein,ZA,-34.0033,24.7314,56.88,76,100,6.58,overcast clouds
202,Dali,CN,25.7,100.1833,59.04,40,0,2.8,clear sky
203,Bambous Virieux,MU,-20.3428,57.7575,74.21,78,40,2.3,scattered clouds
204,Cidreira,BR,-30.1811,-50.2056,66.18,62,0,4.23,clear sky
205,Jaguarao,BR,-32.5661,-53.3758,63.37,77,0,5.73,clear sky
206,Nanortalik,GL,60.1432,-45.2371,19.22,76,32,20.78,scattered clouds
207,Cherskiy,RU,68.75,161.3,1.54,97,100,2.73,light snow
208,Lac Du Bonnet,CA,50.2536,-96.0612,13.73,97,100,1.92,overcast clouds
209,Juneau,US,58.3019,-134.4197,39.22,100,100,0.0,fog
210,Saint-Philippe,RE,-21.3585,55.7679,74.79,71,21,5.64,few clouds
211,Warmbad,NA,-28.45,18.7333,60.69,62,7,5.84,clear sky
212,Galich,RU,58.3797,42.3475,25.68,94,100,7.81,light snow
213,Manokwari,ID,-0.8667,134.0833,83.07,76,100,6.35,overcast clouds
214,Banjar,ID,-8.19,114.9675,85.08,71,99,1.63,overcast clouds
215,Bangassou,CF,4.7413,22.8184,65.01,79,99,1.77,overcast clouds
216,Port Hardy,CA,50.6996,-127.4199,30.38,100,20,4.61,few clouds
217,Qui Nhon,VN,13.7667,109.2333,81.28,79,72,8.57,broken clouds
218,Kalmunai,LK,7.4167,81.8167,77.97,75,67,12.68,broken clouds
219,Surt,LY,31.2089,16.5887,67.06,38,0,14.7,clear sky
220,Krasnoselkup,RU,65.7,82.4667,-22.74,100,44,4.32,scattered clouds
221,Januaria,BR,-15.4833,-44.3667,66.85,99,84,3.91,broken clouds
222,Puerto Escondido,MX,15.85,-97.0667,77.83,65,40,5.75,scattered clouds
223,Beringovskiy,RU,63.05,179.3167,31.26,94,100,2.66,overcast clouds
224,Nabire,ID,-3.3667,135.4833,85.77,68,97,4.05,overcast clouds
225,Saint-Augustin,CA,51.226,-58.6502,22.35,89,100,4.68,overcast clouds
226,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.35,96,100,3.2,overcast clouds
227,Lagoa,PT,39.05,-27.9833,60.82,69,100,21.99,overcast clouds
228,Qaanaaq,GL,77.484,-69.3632,-4.77,85,100,4.65,overcast clouds
229,Olafsvik,IS,64.8945,-23.7142,44.04,78,82,21.68,light rain
230,Banda Aceh,ID,5.5577,95.3222,83.44,69,100,13.04,overcast clouds
231,Nuuk,GL,64.1835,-51.7216,25.41,68,75,13.0,broken clouds
232,Collie,AU,-33.3667,116.15,62.71,57,82,12.64,broken clouds
233,Kushima,JP,31.4583,131.2333,64.53,60,100,2.01,overcast clouds
234,Darhan,MN,49.4867,105.9228,31.5,45,1,3.18,clear sky
235,Cayenne,GF,4.9333,-52.3333,77.04,94,0,0.0,clear sky
236,Sitka,US,57.0531,-135.33,46.29,76,0,4.61,clear sky
237,Port Moresby,PG,-9.4431,147.1797,92.62,55,40,11.5,haze
238,Betioky,MG,-23.7167,44.3833,67.37,72,0,1.21,clear sky
239,Hualmay,PE,-11.0964,-77.6139,64.27,85,100,8.68,overcast clouds
240,Dejen,ET,10.1667,38.1333,49.82,57,42,3.24,scattered clouds
241,Saldanha,ZA,-33.0117,17.9442,53.65,77,96,15.5,overcast clouds
242,Provideniya,RU,64.3833,-173.3,35.71,87,100,18.01,shower rain
243,San Carlos,VE,9.6612,-68.5827,73.24,93,99,3.2,overcast clouds
244,Jardim,BR,-21.4803,-56.1381,64.85,78,0,4.63,clear sky
245,Ulladulla,AU,-35.35,150.4667,61.93,51,8,12.26,clear sky
246,Arlit,NE,18.7369,7.3853,65.71,22,21,6.46,few clouds
247,Perelyub,RU,51.8667,50.3667,27.63,95,100,13.31,light snow
248,Vila Velha,BR,-20.3297,-40.2925,71.55,98,75,3.44,broken clouds
249,Melfi,IT,40.9965,15.6514,53.71,92,11,6.46,few clouds
250,Alexander City,US,32.944,-85.9539,42.49,100,0,0.0,clear sky
251,Maningrida,AU,-12.0667,134.2667,92.34,50,100,8.97,overcast clouds
252,Ugoofaaru,MV,5.6667,73.0,81.46,75,98,9.55,overcast clouds
253,Dingle,PH,10.9995,122.6711,85.32,72,62,11.43,broken clouds
254,Hithadhoo,MV,-0.6,73.0833,80.96,78,82,10.98,broken clouds
255,Princeville,CA,45.7668,-61.2985,48.65,95,100,20.71,light rain
256,Nishihara,JP,26.1842,127.7558,78.08,69,75,13.8,broken clouds
257,Tura,IN,25.5198,90.2201,72.64,64,0,2.21,clear sky
258,Mangrol,IN,21.1167,70.1167,77.25,50,19,11.52,few clouds
259,Vestmannaeyjar,IS,63.4427,-20.2734,47.73,82,97,36.04,overcast clouds
260,Karratha,AU,-20.7377,116.8463,80.04,45,38,16.35,scattered clouds
261,Mae Sai,TH,20.4335,99.8762,70.7,97,95,0.51,overcast clouds
262,Dharchula,IN,29.85,80.5333,59.56,27,0,0.76,clear sky
263,Evensk,RU,61.95,159.2333,2.7,88,98,6.91,overcast clouds
264,Kenai,US,60.5544,-151.2583,32.14,72,0,11.5,clear sky
265,Nuqui,CO,5.7125,-77.2708,76.46,94,100,3.04,moderate rain
266,Vardo,NO,70.3705,31.1107,31.98,64,58,12.66,broken clouds
267,Bikin,RU,46.8161,134.26,32.49,66,41,4.12,scattered clouds
268,Broken Hill,AU,-31.95,141.4333,65.37,31,0,8.34,clear sky
269,Ghanzi,BW,-21.5667,21.7833,73.65,44,6,4.38,clear sky
270,Hami,CN,42.8,93.45,41.05,37,100,3.11,overcast clouds
271,Wamba,NG,8.9333,8.6,70.3,40,30,4.23,scattered clouds
272,Borovoy,RU,55.4333,86.0833,18.68,93,40,6.71,light shower snow
273,Codajas,BR,-3.8367,-62.0569,73.92,96,95,0.38,overcast clouds
274,Mogok,MM,22.9167,96.5,70.21,46,0,2.35,clear sky
275,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,10,4.61,clear sky
276,Plouzane,FR,48.3833,-4.6167,53.65,88,100,14.97,moderate rain
277,Roma,US,43.2128,-75.4557,37.96,90,100,6.91,overcast clouds
278,Saint-Pierre,RE,-21.3393,55.4781,75.9,43,0,3.44,clear sky
279,Prainha,BR,-1.8,-53.48,77.94,60,62,2.77,broken clouds
